listing_area,listing_id,address,num_bathrooms,num_bedrooms,price,price_modifier,price_change,property_type,image_url,floor_plan,short_description,details_url,agent_name,first_published_date,last_published_date
Earlsfields,59280543,"Huntspill Street, London SW17",2,3,775000,,"[{'direction': '', 'date': '2021-07-26 09:38:14', 'percent': '0%', 'price': 775000}]",Terraced house,https://lid.zoocdn.com/354/255/a00abf9b7609fa35edf9d90ddae5db18b7c4fd4a.jpg,['https://lc.zoocdn.com/46c7ecd13e8128e7f7cc6069c9cac01dc9561c79.jpg']," This three bedroom terrace Victorian house on Huntspill Street is located within close proximity to Tooting Broadway underground station, Earlsfield Main Line Station and Garratt Lane's array of amenities as well as all Tooting has to offer. Wandsworth Common is also close by as is St George's Hospital. A large garden and scope to extend into the loft, side return and rear. A property that is not to be missed by someone looking for a great opportunity!",https://www.zoopla.co.uk/for-sale/details/59280543?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,SW19 Estate Agents,2021-07-26 09:40:09,2021-07-27 11:56:22
Earlsfields,55549461,"Worslade Road, London SW17",3,3,775000,offers_over,"[{'direction': '', 'date': '2021-06-02 16:30:20', 'percent': '0%', 'price': '800000'}, {'direction': 'down', 'date': '2021-07-27 10:57:05', 'percent': '-3.1%', 'price': '775000'}]",End terrace house,https://lid.zoocdn.com/354/255/2c73866b74025425f5b1f8f603320a241ef59703.jpg,['https://lc.zoocdn.com/d58d2e5d553b8a88c6415f979177a6a6d70716f3.jpg'],"A superb three bedroom, three bathroom end of terrace house which has been beautifully refurbished with fantastic attention to detail.",https://www.zoopla.co.uk/for-sale/details/55549461?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Barnard Marcus - Tooting,2021-06-02 16:32:43,2021-08-09 13:19:48
Earlsfields,58528994,"Gatton Road, London SW17",1,3,750000,guide_price,"[{'direction': '', 'date': '2021-05-07 10:27:16', 'percent': '0%', 'price': 775000}, {'direction': 'down', 'date': '2021-06-29 15:29:42', 'percent': '-3.2%', 'price': 750000}]",Terraced house,https://lid.zoocdn.com/354/255/5b50ba8d7277cc3edcfa057c537593efc3cadad8.jpg,['https://lc.zoocdn.com/9f994cdc8b726f25f87de0c6cb7e2301a9790781.jpg'],"A fantastic opportunity to purchase this unextended, 3-bedroom mid-terrace house on a quiet residential street in Tooting. Scope for extension, subject to the necessary permissions.",https://www.zoopla.co.uk/for-sale/details/58528994?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Carter Jonas - Wandsworth,2021-05-07 10:31:01,2021-07-08 18:45:25
Earlsfields,58645265,"Godley Road, London SW18",2,4,750000,,"[{'direction': '', 'date': '2021-05-18 16:08:19', 'percent': '0%', 'price': 750000}]",,https://lid.zoocdn.com/354/255/2144f11f5c7fcef6afd8f327d114597e54a36cd3.jpg,['https://lc.zoocdn.com/142d594c5566529865b7f7213e25c0fccfae02ed.jpg'],"A well presented four bedroom 1930's maisonette arranged over two floors.  The property has been thoughtfully extended into the loft to create a wonderful family home. Further benefits are a beautifully maintained private garden and is 0.5 miles from Earlsfield mainline station. Entered via its own front door the accommodation which is laid over the first floor and second floor comprises; a reception room which is open plan to the dining area, modern kitchen, family bathroom finished to a good standard, three double bedrooms, stairs lead to the second floor where there is an impressive master bedroom with en suite bathroom and also includes an extremely useful storage area. The property also offers generous amounts of storage in the eaves.The property is situated on the ever popular Magdalen Estate, conveniently located for Beatrix Potter school, Earlsfield railway station and less than 0.7 of a mile from the beautiful wide open spaces of Wandsworth Common.",https://www.zoopla.co.uk/for-sale/details/58645265?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Jacksons Estate Agents - Earlsfield,2021-05-18 16:10:37,2021-05-18 16:10:37
Earlsfields,59391853,"Gatton Road, Tooting, Tooting SW17",1,3,725000,,"[{'direction': '', 'date': '2021-08-06 14:58:49', 'percent': '0%', 'price': 725000}]",Terraced house,https://lid.zoocdn.com/354/255/a08bb45112154c833b5f903248ba310fb56c8dd6.jpg,['https://lc.zoocdn.com/afca305f3ee6451953697ad552d7540297f8bdbe.jpg'],"This mid terrace house would be perfect for someone who wishes to purchase a property where they can put their own stamp on it. It has the potential to be extended out and into the loft, subject to planning. There are currently two reception rooms and three bedrooms and a rear garden. It is in a super location, being very close to Tooting Broadway 24hr Tube station (Northern Line) and the High Street. Close by are gyms, bars and restaurants as well as the well renowned Tooting Market. With no onward chain this is, in our opinion, a great opportunity. London Borough of Wandsworth, Freehold.",https://www.zoopla.co.uk/for-sale/details/59391853?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,C James & Co,2021-08-06 14:58:54,2021-08-06 15:00:10
Earlsfields,58393503,"Ashvale Road, London SW17",1,3,700000,,"[{'direction': '', 'date': '2021-04-23 21:07:23', 'percent': '0%', 'price': 725000}, {'direction': 'down', 'date': '2021-06-23 14:44:27', 'percent': '-3.4%', 'price': 700000}]",End terrace house,https://lid.zoocdn.com/354/255/ecca06965237acccdd4328e78f4367bc26c86520.jpg,['https://lc.zoocdn.com/389e3a8285efd8c53454f1635d1465d781e4b482.jpg'],"Double Fronted, end of terrace house situated in central Tooting Broadway.  Within a moments walk of the Tube Station (Northern Line) and all the local bars, restaurants and cafes of Tooting Hig...",https://www.zoopla.co.uk/for-sale/details/58393503?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Ludlow Thompson - Tooting,2021-04-23 21:44:28,2021-07-05 18:34:25
Earlsfields,56772606,"Alston Road, London SW17",1,4,700000,offers_over,"[{'direction': '', 'date': '2020-10-29 17:55:34', 'percent': '0%', 'price': 800000}, {'direction': 'down', 'date': '2020-11-12 17:54:46', 'percent': '-6.2%', 'price': 750000}, {'direction': 'down', 'date': '2021-05-17 12:53:15', 'percent': '-3.3%', 'price': 725000}, {'direction': 'down', 'date': '2021-06-07 13:33:32', 'percent': '-3.4%', 'price': 700000}]",Terraced house,https://lid.zoocdn.com/354/255/ec7d6113b1f1ce08dbba380bf5504b851611fab5.jpg,['https://lc.zoocdn.com/1664bdb037cea9a270730b71a5312682d84a023e.jpg'],"Situated in a quiet location between Earlsfield and Tooting, is this four double bedroom house arranged over three elegant floors.",https://www.zoopla.co.uk/for-sale/details/56772606?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Barnard Marcus - Tooting,2020-10-29 17:57:43,2021-08-02 16:23:41
Earlsfields,59043542,"Rogers Road, London SW17",1,3,700000,offers_over,"[{'direction': '', 'date': '2021-06-30 10:26:20', 'percent': '0%', 'price': '750000'}, {'direction': 'down', 'date': '2021-07-14 15:13:40', 'percent': '-6.6%', 'price': '700000'}]",Semi-detached house,https://lid.zoocdn.com/354/255/1b0bf8593f5eeebd6cfbab553a89463227dff356.jpg,['https://lc.zoocdn.com/c9276c38ca6ca586d07478842b137466c6f89aae.jpg'],A charming three bedroom semi-detached house with private front and rear garden plus its very own garage with side access on Rogers Road.,https://www.zoopla.co.uk/for-sale/details/59043542?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Barnard Marcus - Tooting,2021-06-30 10:28:07,2021-08-09 14:00:41
Earlsfields,59324434,"Fountain Road, London SW17",2,4,690000,,"[{'direction': '', 'date': '2021-07-30 10:17:18', 'percent': '0%', 'price': 690000}]",Terraced house,https://lid.zoocdn.com/354/255/5155fe75cf6d026840697cb3199974645c2b0a07.jpg,['https://lc.zoocdn.com/c31e01c6c9040cba7e3ab310ad9711dbad51f134.jpg'],"Guide price £690,000 - £720,000 chic four-bedroom, two-bathroom Victorian home. Call to view now.",https://www.zoopla.co.uk/for-sale/details/59324434?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,"Malixons, London",2021-07-30 10:19:54,2021-07-30 15:33:36
Earlsfields,58725034,"Garratt Lane, London SW17",1,3,675000,guide_price,"[{'direction': '', 'date': '2021-05-26 16:43:57', 'percent': '0%', 'price': 675000}]",Terraced house,https://lid.zoocdn.com/354/255/f65e5f955d949837f14e9970081716e21629bb54.jpg,['https://lc.zoocdn.com/dd59d2946ffa97cd0f4353d606c3e16f5c3a114b.jpg'],"A three bedroom, mid-terraced, Victorian family home that offers the buyer scope to improve and extend a home to their own style and taste. Offered to the market with full vacant possession and no onward chain.",https://www.zoopla.co.uk/for-sale/details/58725034?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Hamptons - Earlsfield & Southfields Sales,2021-05-26 16:45:58,2021-06-08 11:50:57
Earlsfields,59409025,"Garratt Lane, London SW17",1,3,675000,,"[{'direction': '', 'date': '2021-08-09 12:29:25', 'percent': '0%', 'price': '675000'}]",Terraced house,https://lid.zoocdn.com/354/255/04cb3cfd64f50b28c71d15ff7103516a2fa02d5a.jpg,['https://lc.zoocdn.com/126496abe06f5b4e52f32539734bd06ddf2235d0.jpg'],An exciting opportunity to acquire a three-bedroom family house with huge potential to extend into the loft and rear (subject to the necessary planning permission). The property is in need of updating throughout. (contd...),https://www.zoopla.co.uk/for-sale/details/59409025?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Winkworth - Tooting,2021-08-09 14:37:22,2021-08-09 15:24:18
Earlsfields,58244505,"Hepdon Mews, London SW17",2,3,660000,,"[{'direction': '', 'date': '2021-04-09 16:20:51', 'percent': '0%', 'price': 685000}, {'direction': 'down', 'date': '2021-05-10 09:09:12', 'percent': '-3.6%', 'price': 660000}]",Terraced house,https://lid.zoocdn.com/354/255/87afaaab012291e92a3900306a696bc92c1fea15.jpg,['https://lc.zoocdn.com/c52271fc79074a30bfa65dabf863e0c9bfa25357.jpg'],"A three bedroom two bathroom modern build house with a sunny private garden and off street parking in a desirable private mews close to Tooting Broadway Tube and St George's Hospital.Hepdon Mews is a quiet gated community located only a short distance from Tooting Broadway Underground Station. The increasingly popular Tooting Market is nearby, with it's numerous independant cafes, pubs, restaurants and bars.",https://www.zoopla.co.uk/for-sale/details/58244505?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Jacksons Estate Agents - Tooting,2021-04-09 16:22:19,2021-05-10 19:45:09
Earlsfields,54005057,"Dingwall Road, Earlsfield SW18",1,3,645000,,"[{'direction': '', 'date': '2021-07-29 08:46:22', 'percent': '0%', 'price': 645000}]",Terraced house,https://lid.zoocdn.com/354/255/722eaaf5a7f3bc14bf56e1c4c46546885843ebf9.jpg,['https://lc.zoocdn.com/ea1b461177403c69751f78c84c6a25c6be1044b1.jpg'],"Fabulous end of terrace freehold house, located in the heart of Earlsfield with easy access to earlsfield mainline station, garrat lane and wandsworth common",https://www.zoopla.co.uk/for-sale/details/54005057?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Seymour Green,2021-07-29 08:48:07,2021-07-29 08:48:07
Earlsfields,58993668,"Strathdon Drive, London SW17",1,3,550000,,"[{'direction': '', 'date': '2021-06-24 13:25:17', 'percent': '0%', 'price': 580000}, {'direction': 'down', 'date': '2021-07-15 09:13:55', 'percent': '-3.4%', 'price': 560000}, {'direction': 'down', 'date': '2021-07-27 11:56:46', 'percent': '-1.7%', 'price': 550000}]",End terrace house,https://lid.zoocdn.com/354/255/ca6546201f90cfbb64d38c159b1e2f08c4461669.jpg,['https://lc.zoocdn.com/1d0d0398b7801a58ee5e3bd4c06ac1f085dabd63.jpg'],This three bedroom end of terrace home is perfectly located within a quiet development between Earlsfield and Tooting.,https://www.zoopla.co.uk/for-sale/details/58993668?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Barnard Marcus - Tooting,2021-06-24 13:27:26,2021-08-06 14:41:16
Earlsfields,59024142,"Strathdon Drive, London SW17",1,3,550000,offers_in_region_of,"[{'direction': '', 'date': '2021-06-28 14:04:51', 'percent': '0%', 'price': 575000}, {'direction': 'up', 'date': '2021-06-30 10:01:19', 'percent': '0.8%', 'price': 580000}, {'direction': 'down', 'date': '2021-07-14 16:01:15', 'percent': '-3.4%', 'price': 560000}, {'direction': 'down', 'date': '2021-07-28 11:01:57', 'percent': '-1.7%', 'price': 550000}]",Terraced house,https://lid.zoocdn.com/354/255/ee101700b1a205778db1c4721cd7efd3775e6172.jpg,['https://lc.zoocdn.com/c653a2a9915b9955f77c79f7628856f3092065c4.jpg'],"Situated opposite an open green to the front and tucked away in a quiet spot close to both Earlsfield and Tooting Stations is three bedroom end of terrace family house. The property is offered with no onward chain and enjoys a downstairs cloakroom, large private garden, downstairs bathroom and double glazing.You may download, store and use the material for your own personal use and research. You may not republish, retransmit, redistribute or otherwise make the material available to any party or make the same available on any website, online service or bulletin board of your own or of any other party or make the same available in hard copy or in any other media without the website owner's express prior written consent. The website owner's copyright must remain on all reproductions of material taken from this website.",https://www.zoopla.co.uk/for-sale/details/59024142?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Aspire - Balham,2021-06-28 14:06:08,2021-07-28 11:04:31
Earlsfields,58653589,"Strathdon Drive, London SW17",1,3,539000,,"[{'direction': '', 'date': '2021-05-19 11:41:37', 'percent': '0%', 'price': 539000}]",Terraced house,https://lid.zoocdn.com/354/255/0dc56e1fe6b116122f307a3ff4d5b57610c47167.jpg,['https://lc.zoocdn.com/ee19f97091ad0c5f3c100e02a989f21192d93401.jpg'],"A three bedroom terrace house with large garden.  Accommodation consists of a generous entrance hall with useful storage cupboard, spacious kitchen breakfast room, reception room which offers a great entertaining space, three double bedrooms, family bathroom and large garden.The property is situated on Deeside Road, offering easy access to both Earlsfield mainline railway station or Tooting Broadway underground station, with a large array of restaurants and bars within easy reach.",https://www.zoopla.co.uk/for-sale/details/58653589?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Jacksons Estate Agents - Earlsfield,2021-05-19 11:43:48,2021-06-01 09:07:16
