listing_area,listing_id,address,num_bathrooms,num_bedrooms,price,price_modifier,price_change,property_type,image_url,floor_plan,short_description,details_url,agent_name,first_published_date,last_published_date
Putney,58602359,"Dover House Road, London SW15",2,3,800000,,"[{'direction': '', 'date': '2021-05-13 19:06:48', 'percent': '0%', 'price': 800000}]",End terrace house,https://lid.zoocdn.com/354/255/51f89dba6c10d4d0f8ae6c2508912b97fe4bb100.jpg,['https://lc.zoocdn.com/4d822839ceeb4f56cb05ef90bf906b968a19a7f1.jpg'],"This picturesque three bedroom end of terrace home benefits from off-street parking, side access and a secluded rear garden. Freehold",https://www.zoopla.co.uk/for-sale/details/58602359?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Chestertons - Putney,2021-05-13 20:30:47,2021-07-15 13:23:54
Putney,58368674,"Elmshaw Road, London SW15",2,3,765000,,"[{'direction': '', 'date': '2021-04-22 11:26:37', 'percent': '0%', 'price': 780000}, {'direction': 'down', 'date': '2021-05-20 15:50:16', 'percent': '-1.9%', 'price': 765000}]",,https://lid.zoocdn.com/354/255/c34068c832e7cee5da71c8196154149ccf6d4978.jpg,['https://lc.zoocdn.com/9b918b11fa70885e60a13bd7a63cb78ac76ae046.jpg'],"(new to market chain free) We are delighted to offer this well presented three double bedroom mid terraced house set within the ever popular Dover House conservation area. This naturally larger than average home in this charming location has a stunning mock Georgian style frontage and boasts of light and space throughout, comprising three good sized double bedrooms, family bathroom separate W.C spacious entrance with winding stair leading to a large modern kitchen dining room with bespoke island. The kitchen leads out to the private garden and also on to a spacious living room with feature fire place and ample storage, again with sliding doors onto the private garden which boasts the view of the lovely allotments. There is further potential to extend at the rear. (STPP) This property is located within easy reach to Barnes Mainline station, local buses, shops and amenities. The green open spaces of Putney Heath and Richmond park are also close by.",https://www.zoopla.co.uk/for-sale/details/58368674?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Marcus Anthony,2021-04-22 11:28:25,2021-05-20 15:51:51
Putney,58634892,"Hobbes Walk, London SW15",2,3,750000,,"[{'direction': '', 'date': '2021-05-17 17:24:57', 'percent': '0%', 'price': 750000}]",,https://lid.zoocdn.com/354/255/67848a718b3f06dc13c5eb9bf15354713022369d.jpg,['https://lc.zoocdn.com/75b660801c70fe45801be6003d5db556fa1de9af.jpg'],"(chain free) We are delighted to offer this lovely three bedroom mid terraced house overlooking this charming treelined green set within the ever popular Dover House conservation area. The property has been fully extended at the rear and into the loft now benefiting a large master bedroom with office area, and en-suite which has been tastefully done to a high spec with stand alone shower. The home has a stunning feature winding staircase with window overlooking, and benefits from two further bedrooms, the largest over looking the green with feature window and fire place. On the ground floor there are two reception rooms the front with wood floor, fire place and feature window as well as storage and under stair space, and the rear is a large open plan space with wood floor additional modern bathroom and tub, utility area, bespoke fully fitted kitchen with dining and seating area which opens out to the well maintained private garden with patio and faux lawn. In addition there is a large shed ideal for storage and benefits from its very own private drive a rare feature for this location. This home is perfect for a family and is located within easy reach of Barnes mainline station local buses, shops and amenities. The green open spaces of Putney Heath and Richmond Park are also just moments away.",https://www.zoopla.co.uk/for-sale/details/58634892?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Marcus Anthony,2021-05-17 17:26:04,2021-05-17 17:27:11
Putney,58760368,"Hobbes Walk, London SW15",2,3,750000,,"[{'direction': '', 'date': '2021-05-29 21:48:36', 'percent': '0%', 'price': 750000}]",,https://lid.zoocdn.com/354/255/22f7a35f0e05928e9916364546b60318caabfaa3.jpg,['https://lc.zoocdn.com/52fdc0b33c321e08f2026c0c4df0f95a0adbc8fd.jpg'],"(new to market) This charming three bedroom mid terraced house is set within the ever popular Dover House conservation area, and over looks this quaint tree lined green. The home boasts of light and space and period features throughout, has been fully extended at the rear and into the loft. The property comprises three double bedrooms, family bathroom, separate downstairs W.C and an exceptional open plan reception room, which opens out to the well maintained private rear garden, with decking and lawn. This house is ideal for a family and is located close to shops, amenities, local buses, Barnes mainline Station as well as the green open spaces of Putney Heath and Richmond Park.",https://www.zoopla.co.uk/for-sale/details/58760368?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Marcus Anthony,2021-05-29 21:49:44,2021-05-29 21:50:48
Putney,58198305,"Barchard Street, Wandsworth SW18",1,3,729000,,"[{'direction': '', 'date': '2021-04-06 10:16:15', 'percent': '0%', 'price': 765000}, {'direction': 'down', 'date': '2021-05-25 08:21:06', 'percent': '-2%', 'price': 749000}, {'direction': 'down', 'date': '2021-06-11 11:53:16', 'percent': '-2.6%', 'price': 729000}]",Terraced house,https://lid.zoocdn.com/354/255/a115d9e3675778ff82902cf1f5f24dcebab7e7c9.jpg,['https://lc.zoocdn.com/88c7a338916eea50ffb705052771e0fe962c9558.jpg'],A fabulous opportunity to buy a unique and delightful three bedroom cottage built circa 1820 on this pretty street in Wandsworth. The house is presented in good decorative order and offers huge potential and scope to extend and further update if required,https://www.zoopla.co.uk/for-sale/details/58198305?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Realm Estates,2021-04-06 10:17:56,2021-06-11 13:55:12
Putney,58721864,"Stroud Crescent, Kingston Vale, London SW15",2,5,725000,,"[{'direction': '', 'date': '2021-05-26 14:23:17', 'percent': '0%', 'price': 725000}]",End terrace house,https://lid.zoocdn.com/354/255/cc416af1f95d3692759064b1ae7bb0efcc2d5f5e.jpg,['https://lc.zoocdn.com/770d6e8f424aa5f31ea818c36b3c7a514e49ed56.png'],"Located on a residential road on the perimeter of Wimbledon and Putney Commons, this superb 5 bedroom house offers beautifully presented living pace over 3 floors.  The property surrounded by green spaces and within easy reach of the amenities of Roehampton and Putney.",https://www.zoopla.co.uk/for-sale/details/58721864?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Foxtons - Putney,2021-05-26 14:25:19,2021-08-06 07:53:50
Putney,56880135,"Putney Park Lane, London SW15",1,3,725000,guide_price,"[{'direction': '', 'date': '2020-11-09 17:17:09', 'percent': '0%', 'price': 725000}]",,https://lid.zoocdn.com/354/255/54bb4b8ce0157ec3fd9b1f407fbf4d5e60108090.jpg,['https://lc.zoocdn.com/b63e9f2bf6d18aa4a99d89e3c053ee096d104196.jpg'],"We are delighted to offer this well presented three double bedroom mid terraced house to the market. Set within the ever popular Dover House conservation area, this home boasts of character and offers real potential for a family to make their own. Comprising three double bedrooms, two of which are very large, large modern family bathroom with Victorian style stand alone tub, stand alone shower and separate W.C. Spacious fully fitted kitchen, separate from dining room/reception, both opening out to the private rear garden with side access, and to the front additional living room overlooking the quaint communal green. Barnes mainline station, the buses to Putney and local shops are just a short walk away. Putney high street is within walking distance as well as the green open spaces of Putney Heath and Richmond Park.",https://www.zoopla.co.uk/for-sale/details/56880135?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Marcus Anthony,2020-11-09 17:20:33,2021-02-23 13:02:15
Putney,58868911,"Pleasance Road, London SW15",1,3,685000,,"[{'direction': '', 'date': '2021-06-10 21:16:51', 'percent': '0%', 'price': 685000}]",,https://lid.zoocdn.com/354/255/64107e213b1ee9227e76b1558f32d8df77f9ece7.jpg,['https://lc.zoocdn.com/0e63a5234827ecf0a400427ca06e809869145e4b.jpg'],"This charming, light filled, three-bedroom home in the popular Dover House conservation area is set back overlooking a quiet and quaint leafy green. The home has been extended to the rear, and the downstairs comprises an open and airy reception room, a large kitchen/diner backing onto a delightful garden, and an extra room that can function as a third bedroom or a home office. Upstairs are two double bedrooms and a spacious bathroom. All windows are double glazed and most benefit from charming shutters. This property boasts an exceptional amount of storage space, with attractive custom storage solutions built in throughout the home and a boarded loft for additional storage. There is also storage in the garden shed, which has electricity. There is unrestricted parking in the area with communal drive parking available in front of the house. The Dover House neighbourhood is like a village within the city, with a strong community, a park steps away, and allotments, shops, and restaurants all within short walking distance. Barnes and Putney stations and all the amenities of Putney High Street are less than 20 minutes’ walk away, and the area is connected by a number of popular bus routes. The lovely trails of Putney Heath are a short walk up the road, while Richmond Park, Wimbledon Common, Putney Common, and Barnes Common are all within walking distance. To top it off, there is an Ofsted Outstanding nursery school just around the corner and a number of Ofsted Outstanding primary schools in the area, making this an ideal home for young families. (chain free)`",https://www.zoopla.co.uk/for-sale/details/58868911?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Marcus Anthony,2021-06-10 21:18:25,2021-06-10 21:18:25
Putney,59204587,"64 Wadham Road, London SW15",0,3,650000,guide_price,"[{'direction': '', 'date': '2021-07-16 13:17:45', 'percent': '0%', 'price': 685000}, {'direction': 'down', 'date': '2021-08-02 09:29:53', 'percent': '-5.1%', 'price': 650000}]",End terrace house,https://lid.zoocdn.com/354/255/02f9477ccc4311654df8952524d52e5f3c3f550f.jpg,,Lot 7 **for sale by online auction** on 12/08/2021 09:30,https://www.zoopla.co.uk/for-sale/details/59204587?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Harman Healy,2021-07-16 13:18:58,2021-08-02 09:31:29
Putney,59410057,"Ericcson Close, Wandsworth SW18",1,3,650000,,"[{'direction': '', 'date': '2021-08-09 16:04:10', 'percent': '0%', 'price': '650000'}]",Terraced house,https://lid.zoocdn.com/354/255/b69ea36441d472d6825e291ac824654e6d0a07b0.jpg,['https://lc.zoocdn.com/893a0f06168b9a91c3ecff496cdd142b83ee885d.jpg'],"A fantastic, three-bedroom home situated on a highly desirable residential road close to Wandsworth High Street and the Southside Shopping centre.  The property has a large reception room, downstairs w.c. And spacious kitchen dining room with doors opening to the private garden.  On the first floor there are three generous-sized bedrooms and a family bathroom.  Ericcson Close is a quiet residential road situated close to Wandsworth Park and the River Thames, it is also just moments from the amenities of Wandsworth and Putney, both with a selection of popular shops, bars and restaurants.  East Putney (District Line) is within 0.7m and Wandsworth Town (National Rail) is within 0.6m, while the motorist is well served by the nearby A3 and A205 (South Circular Road). The Thames Clipper service is also a short walk away for an alternative route into London.  Viewings can be booked 24/7 via the Purplebricks website.",https://www.zoopla.co.uk/for-sale/details/59410057?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,"Purplebricks, Head Office",2021-08-09 16:05:51,2021-08-09 16:05:51
