listing_area,listing_id,address,num_bathrooms,num_bedrooms,price,price_modifier,price_change,property_type,image_url,floor_plan,short_description,details_url,agent_name,first_published_date,last_published_date
Southfields,58026214,"Cowdrey Road, Wimbledon SW19",1,3,800000,guide_price,"[{'direction': '', 'date': '2021-03-18 18:00:45', 'percent': '0%', 'price': 830000}, {'direction': 'down', 'date': '2021-04-20 17:01:08', 'percent': '-3.6%', 'price': 800000}]",,https://lid.zoocdn.com/354/255/60acd62c456b57066eada76c602ceb015bcf59c4.jpg,['https://lc.zoocdn.com/9388f8d34e138d6104261598c6677ac81d0b03c7.jpg'],"This well presented three bedroom end of terrace period family home is conveniently located just a short walk from Haydons road station with its regular services into London via Thames link and Wimbledon town centre with its wide range of shops, bars and restaurants and Wimbledon station with its regular services into London as well as access to the District line. The accommodation on offer comprises of two separate receptions, a good size kitchen/diner and on the first floor are three double bedrooms and the family bathroom. Outside is a well maintained private rear garden. For further information please contact Lauristons estate agents in Wimbledon on .",https://www.zoopla.co.uk/for-sale/details/58026214?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Lauristons - Wimbledon,2021-03-18 22:03:49,2021-08-08 21:06:02
Southfields,59028079,"Balvernie Grove, Southfields, London SW18",1,3,800000,,"[{'direction': '', 'date': '2021-06-28 18:23:29', 'percent': '0%', 'price': '899950'}, {'direction': 'down', 'date': '2021-07-07 08:24:44', 'percent': '-5.5%', 'price': '850000'}, {'direction': 'down', 'date': '2021-08-06 09:57:13', 'percent': '-5.8%', 'price': '800000'}]",Terraced house,https://lid.zoocdn.com/354/255/a1f977cd7f8a4124091a9ab394e41c8cf530e54e.jpg,['https://lc.zoocdn.com/1d080e37681c3f117c9672f59f6d2e1d5c706300.jpg'],Offered to the market with no onward chain this wonderful three double bedroom house is well positioned on Balvernie Grove only moments away from the 'Outstanding' Sheringdale Primary School and Southfields Village/ Tube.,https://www.zoopla.co.uk/for-sale/details/59028079?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Barnard Marcus - Southfields,2021-06-28 18:24:47,2021-08-09 10:33:31
Southfields,58328966,"Tennyson Road, London SW19",2,3,775000,,"[{'direction': '', 'date': '2021-04-19 09:59:59', 'percent': '0%', 'price': 775000}]",Terraced house,https://lid.zoocdn.com/354/255/36ddb9cff021380081cf1276ea321b6490c365a0.jpg,['https://lc.zoocdn.com/586c6628677e82ae2ccbf85f2a312b07f2bd4b0b.jpg'],"A mid terrace three bedroom, two bathroom Victorian family home. The house has been extended to the rear and in to the loft with an open kitchen/ breakfast room with an island and a fully landscaped garden.Located in the much sought after Poets area, on a family orientated street and within the catchment for two primary schools and close to the Thames Link, London is just moments away!",https://www.zoopla.co.uk/for-sale/details/58328966?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Dexters - Wimbledon,2021-04-19 10:02:27,2021-04-19 10:02:27
Southfields,59354859,"Plough Lane, London SW19",2,4,730000,offers_in_region_of,"[{'direction': '', 'date': '2021-08-03 11:34:17', 'percent': '0%', 'price': 730000}]",Terraced house,https://lid.zoocdn.com/354/255/76cfbb7dfff31b8ea020c116fde3b9223379f252.jpg,['https://lc.zoocdn.com/56c2685034cea75ee553a31d46f71bb58e53a149.jpg'],"Plough Lane, Wimbledon SW19 This attractive 4 bedroom terrace property is located in the popular and vibrant Wimbledon area. Positioned within a very short walking distance from Haydon's Road station, which will link you to Wimbledon Broadway in 2mins or to London Bridge in 30mins. There is a large Lidl supermarket within 5mins walk. The property comprises of a large open-plan kitchen/diner and with access to the garden, one bathroom, one WC, a spacious front reception and four double bedrooms. There is plenty of storage space throughout and the property boasts a private rear garden with lawn, patio area, and also of street parking at the front of the property. This lovely property would be perfect for a family or a great investment property as the new Wimbledon stadium development nearby in Summerstown is expected to increase property values.",https://www.zoopla.co.uk/for-sale/details/59354859?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Bluestone Properties,2021-08-03 11:35:53,2021-08-03 11:35:53
Southfields,58748299,"The Farm, London SW19",1,3,675000,,"[{'direction': '', 'date': '2021-05-28 13:55:11', 'percent': '0%', 'price': 700000}, {'direction': 'down', 'date': '2021-07-01 23:16:38', 'percent': '-3.5%', 'price': 675000}]",Terraced house,https://lid.zoocdn.com/354/255/52a991119e99221b02754c42a2c5f004fe4a68b8.jpg,['https://lc.zoocdn.com/b7374985a5a42daa41680e2a1cfe46d74838957f.jpg'],"Located on a quiet cul-de-sac equidistant to both Southfields and Putney this smart three bedroom mid terrace property enjoys both front and rear gardens, lateral accommodation and potential to extend (STPP). The ground floor features (truncated)",https://www.zoopla.co.uk/for-sale/details/58748299?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Townends - Putney,2021-05-28 13:56:55,2021-08-06 23:17:58
Southfields,58901410,"George Wyver Close, London SW19",2,3,670000,,"[{'direction': '', 'date': '2021-06-15 09:19:38', 'percent': '0%', 'price': 685000}, {'direction': 'down', 'date': '2021-07-27 14:42:43', 'percent': '-2.1%', 'price': 670000}]",,https://lid.zoocdn.com/354/255/0d766d774162228a8664e19b8a68c6e2faa29896.jpg,['https://lc.zoocdn.com/624c0573f74dd55aac07baa9de71673779742703.jpg'],Located on the outskirts of Southfields village within a private cul de sac is this mid terrace three double bedroom house. Having undergone a recent renovation this delightful home offers a buyer the option to add their personal taste. There are three well proportioned bedrooms serviced by an opulent bathroom and ensuite to the principal bedroom. To the front is a kitchen/dining room with fitted kitchen and ample dining space. To the rear of the house is the heart to the home in the form of a light and airy sitting room with sliding doors leading to the private rear garden. The property also benefits from a allocated parking space.,https://www.zoopla.co.uk/for-sale/details/58901410?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Loney Miller,2021-06-15 09:20:52,2021-07-28 13:46:28
Southfields,59371925,"Galgate Close, London SW19",1,3,650000,,"[{'direction': '', 'date': '2021-08-04 16:20:17', 'percent': '0%', 'price': 650000}]",Terraced house,https://lid.zoocdn.com/354/255/d870cf7da98be6b11ec33b0809d0cbd96b1f8725.jpg,['https://lc.zoocdn.com/df160c335bfedb51ccca61b1ae9982fb021b1bc2.jpg'],"A three double bedroom house located within this highly regarded private and secure cul-de-sac development which is moments from Southfields with its village shops, district line Underground and the recreational facilities of Wimbledon Park. (truncated)",https://www.zoopla.co.uk/for-sale/details/59371925?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Hawes & Co - Wimbledon Village,2021-08-04 16:21:53,2021-08-04 16:21:53
Southfields,59367034,"Galgate Close, Southfields, London SW19",1,3,650000,,"[{'direction': '', 'date': '2021-08-04 09:59:07', 'percent': '0%', 'price': '650000'}]",Terraced house,https://lid.zoocdn.com/354/255/07a708c9ebf872f034c4e05d36cb46a4d32503f1.jpg,['https://lc.zoocdn.com/1739a87466ec6b4638bc9884d6ca72b2343a4521.jpg'],"Beautifully presented family home offering three bedrooms, bathroom, kitchen/dining room, utility room/wc and living room. Further benefiting from off street parking, inner courtyard and rear garden. Ideally located for transport, shopping and recreational facilities.",https://www.zoopla.co.uk/for-sale/details/59367034?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Barnard Marcus - Southfields,2021-08-04 10:01:22,2021-08-09 10:34:13
Southfields,58897696,"Bell Drive, London SW18",2,5,649000,guide_price,"[{'direction': '', 'date': '2021-06-14 17:01:51', 'percent': '0%', 'price': '680000'}, {'direction': 'down', 'date': '2021-06-21 14:00:42', 'percent': '-4.5%', 'price': '649000'}]",End terrace house,https://lid.zoocdn.com/354/255/618b7636d0159461bb05dfc6e40c44c0e97b7b52.jpg,['https://lc.zoocdn.com/eb5920471cb2a47a30f972ce75283f881c9dc6b9.jpg'],"Property People proudly present this beautiful four bedroom, two bathroom, end of terrace house in Wandsworth. The property is only 10 minutes from southfields station and 10 minutes from southside shopping center. This property also comes with a patio, perfect for relaxing on warm summer evening...",https://www.zoopla.co.uk/for-sale/details/58897696?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Property People,2021-06-14 17:49:51,2021-08-09 15:25:46
Southfields,59054147,"Durnsford Road, London SW19",1,3,550000,guide_price,"[{'direction': '', 'date': '2021-06-30 20:00:07', 'percent': '0%', 'price': 565000}, {'direction': 'down', 'date': '2021-08-04 16:25:06', 'percent': '-2.6%', 'price': 550000}]",Terraced house,https://lid.zoocdn.com/354/255/16162feab45be36b6fe0b48312478ac7ecc9a36c.jpg,['https://lc.zoocdn.com/1436aa12a3cf7cdfeb6db8f515b1ffac1bf1bc80.jpg'],"Brinkley's Estate Agents are pleased to present this well presented, three bedroom, terraced house. This lovely family home has off-street parking and the potential to extend loft/rear (STPP). The property briefly comprises a front reception, a family bathroom dining room, a separate and fit (cont.)",https://www.zoopla.co.uk/for-sale/details/59054147?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Brinkley's Estate Agents,2021-06-30 20:02:05,2021-08-04 16:27:01
Southfields,58910533,"Linstead Way, London SW18",2,3,535000,,"[{'direction': '', 'date': '2021-06-15 19:49:45', 'percent': '0%', 'price': 515000}, {'direction': 'up', 'date': '2021-06-23 19:49:29', 'percent': '3.8%', 'price': 535000}]",Terraced house,https://lid.zoocdn.com/354/255/5a34f178bf5d0b4b2372053fc44aa2b2de60e37a.jpg,['https://lc.zoocdn.com/df9ecfb7856e1ce2063129f46527ad0c913eb5bc.jpg'],"Located between Wimbledon, Earslfield and Southfields, this 3 bedroom house is well positioned and comes to the market chain-free.",https://www.zoopla.co.uk/for-sale/details/58910533?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Hamptons - Wimbledon Sales,2021-06-15 19:51:06,2021-06-23 19:50:46
