listing_area,listing_id,address,num_bathrooms,num_bedrooms,price,price_modifier,price_change,property_type,image_url,floor_plan,short_description,details_url,agent_name,first_published_date,last_published_date
Wandsworth,59028079,"Balvernie Grove, Southfields, London SW18",1,3,800000,,"[{'direction': '', 'date': '2021-06-28 18:23:29', 'percent': '0%', 'price': '899950'}, {'direction': 'down', 'date': '2021-07-07 08:24:44', 'percent': '-5.5%', 'price': '850000'}, {'direction': 'down', 'date': '2021-08-06 09:57:13', 'percent': '-5.8%', 'price': '800000'}]",Terraced house,https://lid.zoocdn.com/354/255/a1f977cd7f8a4124091a9ab394e41c8cf530e54e.jpg,['https://lc.zoocdn.com/1d080e37681c3f117c9672f59f6d2e1d5c706300.jpg'],Offered to the market with no onward chain this wonderful three double bedroom house is well positioned on Balvernie Grove only moments away from the 'Outstanding' Sheringdale Primary School and Southfields Village/ Tube.,https://www.zoopla.co.uk/for-sale/details/59028079?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Barnard Marcus - Southfields,2021-06-28 18:24:47,2021-08-09 10:33:31
Wandsworth,58542385,"Glenburnie Road, London SW17",2,3,765000,guide_price,"[{'direction': '', 'date': '2021-05-07 17:39:13', 'percent': '0%', 'price': 795000}, {'direction': 'down', 'date': '2021-06-08 21:43:42', 'percent': '-3.7%', 'price': 765000}]",Semi-detached house,https://lid.zoocdn.com/354/255/42457b0f448b4fa21fa2790fddf6cc9fc3a5d242.jpg,['https://lc.zoocdn.com/a95f723a4a663d788cbe1b2f6628827ed2ab751e.jpg'],"A lovely modern, three bedroom house with a 35ft. Garden and off-street parking.",https://www.zoopla.co.uk/for-sale/details/58542385?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Savills - Clapham,2021-05-07 18:42:51,2021-06-08 22:48:25
Wandsworth,58645265,"Godley Road, London SW18",2,4,750000,,"[{'direction': '', 'date': '2021-05-18 16:08:19', 'percent': '0%', 'price': 750000}]",,https://lid.zoocdn.com/354/255/2144f11f5c7fcef6afd8f327d114597e54a36cd3.jpg,['https://lc.zoocdn.com/142d594c5566529865b7f7213e25c0fccfae02ed.jpg'],"A well presented four bedroom 1930's maisonette arranged over two floors.  The property has been thoughtfully extended into the loft to create a wonderful family home. Further benefits are a beautifully maintained private garden and is 0.5 miles from Earlsfield mainline station. Entered via its own front door the accommodation which is laid over the first floor and second floor comprises; a reception room which is open plan to the dining area, modern kitchen, family bathroom finished to a good standard, three double bedrooms, stairs lead to the second floor where there is an impressive master bedroom with en suite bathroom and also includes an extremely useful storage area. The property also offers generous amounts of storage in the eaves.The property is situated on the ever popular Magdalen Estate, conveniently located for Beatrix Potter school, Earlsfield railway station and less than 0.7 of a mile from the beautiful wide open spaces of Wandsworth Common.",https://www.zoopla.co.uk/for-sale/details/58645265?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Jacksons Estate Agents - Earlsfield,2021-05-18 16:10:37,2021-05-18 16:10:37
Wandsworth,59244133,"Fishponds Road, London SW17",1,4,750000,,,End terrace house,https://lid.zoocdn.com/354/255/21b0538f31f3742820023d2adfe8a19a72329136.jpg,['https://lc.zoocdn.com/eb07370143c0217739dfc491f544ec206ee903ac.jpg'],A large four-bedroom family home in need of updating and with potential to extend further. Chain free.&lt;br/&gt;&lt;br/&gt;,https://www.zoopla.co.uk/for-sale/details/59244133?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Marsh & Parsons - Tooting,2021-07-21 13:50:10,2021-08-02 13:48:59
Wandsworth,58198305,"Barchard Street, Wandsworth SW18",1,3,729000,,"[{'direction': '', 'date': '2021-04-06 10:16:15', 'percent': '0%', 'price': 765000}, {'direction': 'down', 'date': '2021-05-25 08:21:06', 'percent': '-2%', 'price': 749000}, {'direction': 'down', 'date': '2021-06-11 11:53:16', 'percent': '-2.6%', 'price': 729000}]",Terraced house,https://lid.zoocdn.com/354/255/a115d9e3675778ff82902cf1f5f24dcebab7e7c9.jpg,['https://lc.zoocdn.com/88c7a338916eea50ffb705052771e0fe962c9558.jpg'],A fabulous opportunity to buy a unique and delightful three bedroom cottage built circa 1820 on this pretty street in Wandsworth. The house is presented in good decorative order and offers huge potential and scope to extend and further update if required,https://www.zoopla.co.uk/for-sale/details/58198305?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Realm Estates,2021-04-06 10:17:56,2021-06-11 13:55:12
Wandsworth,58983460,"Glenburnie Road, London SW17",1,3,725000,,"[{'direction': '', 'date': '2021-06-23 14:08:58', 'percent': '0%', 'price': 725000}]",Terraced house,https://lid.zoocdn.com/354/255/ee9b536e515aae3db5834970e60643dd9c2aa5d5.jpg,['https://lc.zoocdn.com/4a00cc3ee547fef20637d51f565b5b60978d72b9.jpg'],"A three bedroom terraced house with a large garden on a desirable road in Tooting Bec. The property has great scope to extend into the loft and to the rear, subject to planning permissionGlenburnie Road is a popular Tooting Bec location close to Tooting Bec Common and underground station. All the shops, restaurants, bars and cafés of Balham are also nearby.",https://www.zoopla.co.uk/for-sale/details/58983460?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Jacksons Estate Agents - Tooting,2021-06-23 14:11:09,2021-06-24 11:10:40
Wandsworth,59281697,"Upper Tooting Road, London SW17",2,3,725000,,"[{'direction': '', 'date': '2021-07-26 11:32:00', 'percent': '0%', 'price': 725000}]",Terraced house,https://lid.zoocdn.com/354/255/ca68b2e1740842a5b75fcb054d5d36973e3b58ea.jpg,"['https://lc.zoocdn.com/225c85b381acf18120a669566196d14001a5e985.png', 'https://lc.zoocdn.com/c3d842a367e6da7e41104adcff557d52b2700e86.png']","New Build 3 Bedroom, 2 Bathroom Home - within a quiet development offering privacy in a great location.",https://www.zoopla.co.uk/for-sale/details/59281697?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Lantana Estates,2021-07-26 11:33:27,2021-07-26 12:58:12
Wandsworth,58901410,"George Wyver Close, London SW19",2,3,670000,,"[{'direction': '', 'date': '2021-06-15 09:19:38', 'percent': '0%', 'price': 685000}, {'direction': 'down', 'date': '2021-07-27 14:42:43', 'percent': '-2.1%', 'price': 670000}]",,https://lid.zoocdn.com/354/255/0d766d774162228a8664e19b8a68c6e2faa29896.jpg,['https://lc.zoocdn.com/624c0573f74dd55aac07baa9de71673779742703.jpg'],Located on the outskirts of Southfields village within a private cul de sac is this mid terrace three double bedroom house. Having undergone a recent renovation this delightful home offers a buyer the option to add their personal taste. There are three well proportioned bedrooms serviced by an opulent bathroom and ensuite to the principal bedroom. To the front is a kitchen/dining room with fitted kitchen and ample dining space. To the rear of the house is the heart to the home in the form of a light and airy sitting room with sliding doors leading to the private rear garden. The property also benefits from a allocated parking space.,https://www.zoopla.co.uk/for-sale/details/58901410?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Loney Miller,2021-06-15 09:20:52,2021-07-28 13:46:28
Wandsworth,58132560,"Hebdon Road, London SW17",0,4,650000,from,"[{'direction': '', 'date': '2021-03-29 15:43:16', 'percent': '0%', 'price': 650000}]",Terraced house,https://lid.zoocdn.com/354/255/55a290e4d12177f394d186cf0df680185cba87c1.jpg,,"Strapline  A well located three/four bedroom mid terrace house, in need of modernisation, with a certificate of lawfulness for a rear dormer roof extension and a single storey outbuilding to the rear, and with further development potential. Let on an assured shorthold tenancy at a total current rent £27,300 per annum.  Description  Mid terrace property  Requires modernisation  Gas central heating (not tested)  Rear garden  Location  Situated on the junction of Upper Tooting Road and Hebdon Road  Shopping facilities are available locally on Upper Tooting Road and and Tooting High Street along with a good selection of cafes bars and restaurants  Recreational facilities can be found on Tooting Graveney Common and Tooting Bec Common which are both within easy reach  Nearby road communications are via the A217 and A24  Transport  Tooting Bec, Tooting Broadway (Underground, Northern Line)  Tenancy  Let on a 12th month assured shorthold tenancy from 10.9.2020 at a rent of £2,275 per month  Accommodation  Ground Floor - Two Rooms, Kitchen  First Floor - Three Bedrooms, Bathroom/WC  Second Floor - Bedroom/Attic room  Planning  A certificate of lawfulness (Ref 2016/4054) was received from Wandsworth Council on the 8th of December 2016 for alterations including rear dormer roof extension and erection of a single storey outbuilding in the rear garden.  ",https://www.zoopla.co.uk/for-sale/details/58132560?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Savills - National Auctions,2021-03-29 15:45:39,2021-03-29 15:45:39
Wandsworth,59204587,"64 Wadham Road, London SW15",0,3,650000,guide_price,"[{'direction': '', 'date': '2021-07-16 13:17:45', 'percent': '0%', 'price': 685000}, {'direction': 'down', 'date': '2021-08-02 09:29:53', 'percent': '-5.1%', 'price': 650000}]",End terrace house,https://lid.zoocdn.com/354/255/02f9477ccc4311654df8952524d52e5f3c3f550f.jpg,,Lot 7 **for sale by online auction** on 12/08/2021 09:30,https://www.zoopla.co.uk/for-sale/details/59204587?utm_source=v1:9KyNAjLUAErIr0e_fqJyoGH9KgVohKCX&utm_medium=api,Harman Healy,2021-07-16 13:18:58,2021-08-02 09:31:29
